,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
307,Raymond,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/Raymond_NH.png/revision/latest?cb=20200317174731,Male,Smug,Cat,October 1st (Libra),Libra,"""crisp""",Waistcoat,Unknown,Rapping,Fashion Designer,Unknown,Civic,K.K. Cruisin',"PC, NH",1,1,https://www.animalcrossingportal.com/images/villagers/icons/raymond.png,1st May 2020,Tier 1
348,Judy,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Judy_NH.png/revision/latest?cb=20200318005830,Female,Snooty,Cub,March 10th (Pisces),Pisces,"""myohmy""",Red Riding Dress,Unknown,Pottery,Unknown,Unknown,Unknown,K.K. Lullaby,"PC, NH",2,2,https://www.animalcrossingportal.com/images/villagers/icons/judy.png,1st May 2020,Tier 1
277,Audie,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-Audie_poster.png/revision/latest?cb=20200410183255,Female,Peppy,Wolf,August 31st (Virgo),Virgo,"""Foxtrot""",Sunflower Tee (PC)Tropical Muumuu (NH),Unknown,Unknown,Pop Star,Unknown,Unknown,K.K. Island,"PC, NH",3,3,https://www.animalcrossingportal.com/images/villagers/icons/audie.png,1st May 2020,Tier 1
334,Marshal,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Marshal_NH.png/revision/latest/scale-to-width-down/350?cb=20200317171946,Male,Smug,Squirrel,September 29th (Libra),Libra,"""sulky""",Denim Jacket(NL) Puffy Vest(NH),A world-famous café,Mental Math,Designer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Ornate,K.K. Bossa,"NL, PC, NH",4,4,https://www.animalcrossingportal.com/images/villagers/icons/marshal.png,1st May 2020,Tier 1
339,Ankha,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/Ankha_NLa.png/revision/latest?cb=20200413172251,Female,Snooty,Cat,September 22nd (Virgo),Virgo,"""me meow""",Red Aloha Shirt  (Animal Forest)  Egyptian Outfit  (City Folk)   Mummy Shirt  (New Leaf)   Palatial Tank Dress   (New Horizons)  ,An ancient tomb,Writing About Pickles,Astronaut,"Kilimanjaro,No milk,No sugar",Historical,Marine Song 2001,"AF+, AC, AFe+, CF, NL, HHD, NH",5,5,https://www.animalcrossingportal.com/images/villagers/icons/ankha.png,1st May 2020,Tier 1
217,Coco,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Coco_NH.png/revision/latest/scale-to-width-down/258?cb=20200321103716,Female,Normal,Rabbit,March 1st (Pisces),Pisces,"""doyoing""","Misty Shirt  (AC)  Dawn Tee  (WW, CF, NL) ",An ancient-artifacts exhibit,Writing Backwards,Astronaut,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",6,6,https://www.animalcrossingportal.com/images/villagers/icons/coco.png,1st May 2020,Tier 1
349,Diana,https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/31a901eed448f9ee30fc1af858e29be5_clipped_rev_2.png/revision/latest?cb=20161008150800,Female,Snooty,Deer,January 4th (Capricorn),Capricorn,"""no doy""",Natty Tee,A tranquil sanctuary,Playing Poker,Dermatologist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,Stale Cupcakes,"NL, HHD, PC, NH",7,7,https://www.animalcrossingportal.com/images/villagers/icons/diana.png,1st May 2020,Tier 1
218,Merengue,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/Merengue_NH.png/revision/latest/scale-to-width-down/336?cb=20200321211014,Female,Normal,Rhino,March 19th (Pisces),Pisces,"""shortcake""","Chef's Outfit (NL, NH)",A candy house,Doodling,Pastry Chef,"Blend,A little bit of milk,One spoonful of sugar",Official,K.K. Stroll,"NL, HHD, PC, NH",8,8,https://www.animalcrossingportal.com/images/villagers/icons/merengue.png,1st May 2020,Tier 1
183,Fauna,https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Fauna.png/revision/latest/scale-to-width-down/350?cb=20161008150856,Female,Normal,Deer,March 26th (Aries),Aries,"""dearie""",Shearling Coat,A home concert hall,Mental Math,Teacher,"Mocha,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Stroll,"NL, HHD, PC, NH",9,9,https://www.animalcrossingportal.com/images/villagers/icons/fauna.png,1st May 2020,Tier 1
125,Stitches,https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/Stitches_NH.png/revision/latest?cb=20200413171903,Male,Lazy,Cub,February 10th (Aquarius),Aquarius,"""stuffin'""",Big-Star Tee,A colorful toybox,Forgetting Stuff,Lawyer,"Blend,Just a little bit of milk,One spoonful of sugar",Flashy,K.K. Lullaby,"WW, CF, NL, HHD, PC, NH",10,10,https://www.animalcrossingportal.com/images/villagers/icons/stitches.png,1st May 2020,Tier 1
