,Name,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image,Updated Date,Tier
382,Vladimir,Male,Cranky,Cub,August 2nd (Leo),Leo,"""nyet""",Tiger Print (AC)Lite Polka Tee (CF)Striped Shirt (Purple) (NH),A way below ground,Belly Dancing,Movie Director,"Mocha,Lots of milk,Three spoonfuls of sugar",Flashy,Agent K.K.,"AF, AF+, AC, AFe+, CF, NL, NH",384,130,https://www.animalcrossingportal.com/images/villagers/icons/vladimir.png,15th May 2020,Tier 6
385,Walt,Male,Cranky,Kangaroo,April 24th (Taurus),Taurus,"""pockets""",Jinbei Top(NL) Casual Kimono(NH),A shrine to samurai,Rock Paper Scissors,Carpenter,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Iconic,Agent K.K.,"NL, NH",385,131,https://www.animalcrossingportal.com/images/villagers/icons/walt.png,15th May 2020,Tier 6
333,Moose,Male,Jock,Mouse,September 13th (Virgo),Virgo,"""shorty""",Big-Star Tee,A spot to play hoops,Telling Jokes,Mayor,"Mocha,  No milk,  No sugar",Flashy,Agent K.K.,"CF, NL, NH",293,41,https://www.animalcrossingportal.com/images/villagers/icons/moose.png,15th May 2020,Tier 6
116,Anabelle,Female,Peppy,Anteater,February 16th (Aquarius),Aquarius,"""snorty""",Tropical Tee,A cosmopolitan yard,Jumping Rope,Judge,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,Aloha K.K.,"WW, CF, NL, HHD, PC, NH",121,10,https://www.animalcrossingportal.com/images/villagers/icons/anabelle.png,15th May 2020,Tier 5
131,Boomer,Male,Lazy,Penguin,February 7th (Aquarius),Aquarius,"""human""","Blue Aloha Shirt (AF+, AC, AFe+)Explorer Tee (CF, NL)",A captain's cockpit,Oversleeping,Pilot,"Blend,A little bit of milk,One spoonful of sugar",Historical,Aloha K.K.,"AF+, AC, AFe+, CF, NL, HHD, NH",142,31,https://www.animalcrossingportal.com/images/villagers/icons/boomer.png,15th May 2020,Tier 5
169,Graham,Male,Smug,Hamster,June 20th (Gemini),Gemini,"""indeed""",Vegetarian Tee,A start-up company office,Computing,Writer,"Blend,The regular amount of milk,Two spoonfuls of sugar",Historical,Bubblegum K.K.,New Leaf Pocket Camp New Horizons,208,97,https://www.animalcrossingportal.com/images/villagers/icons/graham.png,15th May 2020,Tier 5
47,Cookie,Female,Peppy,Dog,June 18th (Gemini),Gemini,"""arfer""",Blue Tartan Tee,A room fit for a princess,Dancing,Actor,"Blend,None at all,None at all",Cute,Bubblegum K.K.,"AF, AF+, AC, AFe+, CF, NL, NH",47,7,https://www.animalcrossingportal.com/images/villagers/icons/cookie.png,15th May 2020,Tier 3
167,Gayle,Female,Normal,Alligator,May 17th (Taurus),Taurus,"""snacky""",Heart Tee,A home with heart,Hula Dancing,Gymnast,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,Bubblegum K.K.,"NL, HHD, PC, NH",107,36,https://www.animalcrossingportal.com/images/villagers/icons/gayle.png,15th May 2020,Tier 4
65,Rosie,Female,Peppy,Cat,February 27th (Pisces),Pisces,"""silly""","Short Cake Shirt (AC)Dazed Tee (WW, CF, NL, PC)Dazed Dress (NH)",An office/studio for a star,Karaoke,Movie Star,"Mocha,Just a little bit of milk,One spoonful of sugar",Cute,Bubblegum K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Dōbutsu no Mori",30,15,https://www.animalcrossingportal.com/images/villagers/icons/rosie.png,15th May 2020,Tier 2
344,Penelope,Female,Peppy,Mouse,February 5th (Aquarius),Aquarius,"""oh bow""",Pink Wave Tank,A nonstop wedding party,Photography,Actor,"Kilimanjaro,  A lot of milk,  Three spoonfuls of sugar",Cute,Bubblegum K.K.,"NL, HHD, PC, NH",316,63,https://www.animalcrossingportal.com/images/villagers/icons/penelope.png,15th May 2020,Tier 6
206,Olive,Female,Normal,Cub,July 12th (Cancer),Cancer,"""sweet pea""",Dapper Tee(NL)Plover Dress(NH),Unknown,Dancing,Pastry Chef,"Blue Mountain,No milk,No sugar",Basic,Cafe K.K.,"AF, AF+, AC, AFe+, NL, NH",302,50,https://www.animalcrossingportal.com/images/villagers/icons/olive.png,15th May 2020,Tier 6
103,Pecan,Female,Snooty,Squirrel,September 10 (Virgo),Virgo,"""chipmunk""",Red-Check Tee (until NL)Milkmaid Dress (NH),A chic and relaxed room,Forgetting Stuff,Translator,"Blend,No milk,No sugar",Official,Cafe K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH",312,59,https://www.animalcrossingportal.com/images/villagers/icons/pecan.png,15th May 2020,Tier 6
215,Portia,Female,Snooty,Dog,October 25th (Scorpio),Scorpio,"""ruffian""","Polar Fleece (AC, WW, CF)Blue Diamond Tee (NL)Rad power skirt suit (NH)",A tribute to Festivale,Photography,Stylist,"Mocha,The regular amount of milk,Two spoonfuls sugar",Modern,Cafe K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",325,72,https://www.animalcrossingportal.com/images/villagers/icons/portia.png,15th May 2020,Tier 6
105,Ellie,Female,Normal,Elephant,May 12th (Taurus),Taurus,"""li'l one""",Red Grid Tee,Unknown,Calculating Tips,Dentist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,Cafe K.K.,"AF, AF+, AC, AFe+, NL, NH",91,20,https://www.animalcrossingportal.com/images/villagers/icons/ellie.png,15th May 2020,Tier 4
75,Sprinkle,Female,Peppy,Penguin,February 20th (Pisces),Pisces,"""frappe""",Icy Shirt,A frozen world to play in,Jumping Rope,Figure Skater,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Cute,Cafe K.K.,"NL, HHD, PC, NH",50,10,https://www.animalcrossingportal.com/images/villagers/icons/sprinkle.png,15th May 2020,Tier 3
171,Gwen,Female,Snooty,Penguin,January 23rd (Aquarius),Aquarius,"""h-h-hon""","Yellow Bolero (AC, WW, CF)Melon Gingham Tee (NL)",A day spa,Skimming Books,Ceo,"Blend,A little bit of milk,One spoonful of sugar",Ornate,Cafe K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",211,100,https://www.animalcrossingportal.com/images/villagers/icons/gwen.png,15th May 2020,Tier 5
325,Maelle,Female,Snooty,Duck,April 8th (Aries),Aries,"""duckling""","Red Aloha Shirt (AF+, AC, AFe+)Heart Tee (WW, CF, NL)",A high-end fashion boutique.,Stomping Around,Makeup Artist,"Blend,None at all,None at all",Modern,Cafe K.K.,"AF+, AC, AFe+, WW, CF, NL, NH",281,30,https://www.animalcrossingportal.com/images/villagers/icons/maelle.png,15th May 2020,Tier 6
