,Name,Image,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances
108,Del,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Del_NewLeaf_Official.png/revision/latest/scale-to-width-down/300?cb=20130721182619,Male,Cranky,Alligator,May 27th (Gemini),(Gemini),"""gronk""","Wave Shirt (Animal Forest e+)Blue-Stripe Tee (City Folk, New Leaf, New Horizons)",A shrine of seafaring,Subsistence living,Firefighter,"Blend,None at all,None at all",Sporty,K.K. March,"AFe+, CF, NL, NH"
104,Cyrano,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Cyrano.png/revision/latest/scale-to-width-down/350?cb=20130718135136,Male,Cranky,Anteater,March 9th (Pisces),(Pisces),"""ah-CHOO""","Wave Shirt (AF, AF+, AC, AFe+)Dawn Tee (WW, CF, NL)",An odd-numbers gallery,Whistling,Journalist,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Faire,"AF, AF+, AC, AFe+, WW, CF, NL, NH, Dōbutsu no Mori"
83,Chow,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/Chow_NewHorizons.png/revision/latest?cb=20200408112145,Male,Cranky,Bear,July 22nd (Cancer),(Cancer),"""aiya""","Star Tee (AF, AC, WW. CF. NL)Gold-print Tee (NH)",A humble abode,Trivia,Chef,"Blend,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Steppe,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
102,Curt,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Nhcurt.png/revision/latest?cb=20200223062124,Male,Cranky,Bear,July 1st (Cancer),(Cancer),"""fuzzball""",MVP Tee,A glory-days trophy room,Whistling,Carpenter,"Mocha,None at all,None at all",Iconic,K.K. Lament,"AFe+, WW, CF, NL, HHD, PC, NH"
161,Grizzly,https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/Grizzly_NewHorizons.png/revision/latest?cb=20200407222650,Male,Cranky,Bear,July 31st (Leo),(Leo),"""grrr...""","Houndstooth Tee (Animal Forest), Three-Ball Tee (City Folk, New Leaf, Flannel Shirt (New Horizons)",An opulent oil tycoon's hall.,Brainteasers,Photographer,"Blend,The regular amount of milk,Two spoonfuls of sugar",Basic,K.K. Condor,"AF, AF+, AC, AFe+, CF, NL, NH"
162,Groucho,https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/Groucho_NewHorizons.png/revision/latest?cb=20200408174427,Male,Cranky,Bear,October 23rd (Libra),(Libra),"""grumble""","Windsock Shirt (AC)Lite Polka Tee (CF, NL, PC)",A farming homestead,Competitive eating,Pro wrestler,"Blend,The regular amount of milk,Two spoonfuls of sugar",Historical,K.K. Metal,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH"
178,Ike,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/Ike_HHD.png/revision/latest/scale-to-width-down/350?cb=20180518170322,Male,Cranky,Bear,May 16th (Taurus),(Taurus),"""roadie""","Jungle-camo shirt, Camo bomber-style jacket (NH)",Unknown,Doing chin ups,Carpenter,"Mocha,No milk,No sugar",Rock n' roll,K.K. Rock,"AFe+, NL, NH"
0,Admiral,https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/Admiral_HD.png/revision/latest/scale-to-width-down/350?cb=20180518160412,Male,Cranky,Bird,January 27th (Aquarius),(Aquarius),"""aye aye""",Orange Pinstripe Shirt,Unknown,Writing about pickles,Fisherman,"Blue Mountain,The regular amount of milk,2 spoonfuls of sugar",Unknown,Steep Hill,"AF, AF+, AC, AFe+, NL, NH"
11,Angus,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/AngusNH.png/revision/latest?cb=20200504213452,Male,Cranky,Bull,April 30th (Taurus),(Taurus),"""macmoo""",Flame Tee,A salty seaside shack,Doing handstands,Forest Ranger,"Kilimanjaro,No milk,No sugar",Rock 'n' roll,Señor K.K.,"AFe+, WW, CF, NL, HHD, PC, NH"
356,T-Bone,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/TBone_NewLeaf_Official.png/revision/latest/scale-to-width-down/303?cb=20130721212940,Male,Cranky,Bull,May 20th (Taurus),(Taurus),"""moocher""","Yellow Pinstripe (AC),  Hanten Shirt (NL)",A fire-filled hot spot,Pretending to sleep,Police officer,"Kilimanjaro,No milk,No sugar",Historical,K.K. Steppe,"AF, AF+, AC, AFe+, NL, NH"
373,Vic,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/Vic_HHD.png/revision/latest?cb=20160624002946,Male,Cranky,Bull,December 29th (Capricorn),(Capricorn),"""cud""",Scale-Armor Suit,A pirate's refuge,Doing push-ups,Archaeologist,"Blue Mountain,Regular amount of milk,Two spoonfuls of sugar",Historical,Lucky K.K.,"NL, HHD, PC, NH"
190,Kabuki,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5b/Kabuki_NewLeaf_Official.png/revision/latest/scale-to-width-down/291?cb=20130818041028,Male,Cranky,Cat,November 29th (Sagittarius),(Sagittarius),"""meooo-OH""","Lavender Robe (AC) Misty Tee (WW, CF, NL)",A shrine for zen items,Drawing circles,Actor,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Historical,K.K. Folk,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
364,Tom,https://vignette.wikia.nocookie.net/animalcrossing/images/7/76/Tom_HD.png/revision/latest/scale-to-width-down/350?cb=20181027223027,Male,Cranky,Cat,December 10th (Sagittarius),(Sagittarius),"""me-YOWZA""",BB Tee,A fighter's gym,Doing chin-ups,Guitarist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Rock 'n' roll,K.K. Rally,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH"
202,Knox,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/Knox_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721192717,Male,Cranky,Chicken,November 23rd (Sagittarius),(Sagittarius),"""cluckling""",Cavalier Shirt,A battle enthusiast's abode,Calculating tips,Firefighter,"Blend,Lots of milk,Three spoonfuls of sugar",Iconic,K.K. Aria,"CF, NL, NH"
246,Murphy,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Murphy_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161146,Male,Cranky,Cub,December 29th (Capricorn),(Capricorn),"""laddie""",Static Shirt (AC)Purple Tie Dye (NL) Fishing Vest (NH),Unknown,Brainteasers,Teacher,"Blend,A little bit of milk,1 spoonful of sugar",Unknown,[[K.K. D & B ACPondering NL]],"AF, AF+, AC, AFe+, NL, NH"
377,Vladimir,https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/VladNewHorizons.png/revision/latest?cb=20200416053446,Male,Cranky,Cub,August 2nd (Leo),(Leo),"""nyet""",Tiger Print (AC)Lite Polka Tee (CF)Striped Shirt (Purple) (NH),A way below ground,Belly dancing,Movie director,"Mocha,Lots of milk,Three spoonfuls of sugar",Flashy,Agent K.K.,"AF, AF+, AC, AFe+, CF, NL, NH"
57,Bruce,https://vignette.wikia.nocookie.net/animalcrossing/images/4/45/Bruce_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161455,Male,Cranky,Deer,May 26th (Gemini),(Gemini),"""gruff""",After-School Jacket,A mah-jongg parlor,Memorizing,Pro golfer,"Blue Mountain,None at all,None at all",Rock 'n' roll,K.K. Blues,"NL, HHD, PC, NH"
63,Butch,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/Butch_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/300?cb=20130708032928,Male,Cranky,Dog,November 1st (Scorpio),(Scorpio),"""ROOOOOWF""","Houndstooth Knit (AC)  Arctic-Camo Tee (WW, CF, NL, PC)",A cool dog park,Air guitar,Race car driver,"Blend,No milk,No sugar",Sporty,K.K. Fusion,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
16,Apollo,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Apollo-Render.png/revision/latest/scale-to-width-down/350?cb=20200202215708,Male,Cranky,Eagle,July 4th (Cancer),(Cancer),"""pah""",Zipper Shirt,A celebration of tallness.,Staying up late,Pilot,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Rock 'n' roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH, Dōbutsu no Mori"
22,Avery,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/Avery_NH.png/revision/latest/scale-to-width-down/350?cb=20200227000314,Male,Cranky,Eagle,February 22nd (Pisces),(Pisces),"""skree-haw""",Uncommon Shirt,A room full of fossils,Skimming books,Professor,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Iconic,K.K. Condor,"AFe+, CF, NL, HHD, PC, NH"
64,Buzz,https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Buzz_NH.png/revision/latest/scale-to-width-down/350?cb=20200226235618,Male,Cranky,Eagle,December 7th (Sagittarius),(Sagittarius),"""captain""",Racer 6 Shirt(AF-NL)9-Ball Tee (NH),Unknown,Fishing,Chef,"Blue mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Rally,"AF, AF+, AC, AFe+, NL, NH"
141,Frank,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Frank_NH_cropped.png/revision/latest/scale-to-width-down/350?cb=20200308183342,Male,Cranky,Eagle,July 30th (Leo),(Leo),"""crushy""",Blue Aloha Shirt (AFe+)Black Letter Jacket (NL),A miniatures museum,Pretending to sleep,Teacher,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Rock 'n' roll,K.K. Casbah,"AFe+, NL, NH"
103,Cyd,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/Cyd_NH.png/revision/latest?cb=20200319212643,Male,Cranky,Elephant,June 9th (Gemini),(Gemini),"""rockin'""",Dragon Jacket (PC),Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Metal,"PC, NH"
66,Camofrog,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/Camofrog_NewLeaf_Official.png/revision/latest?cb=20130721180123,Male,Cranky,Frog,June 5th (Gemini),(Gemini),"""ten-hut""",MVP Tee,A nature sanctuary,Playing jacks,Pilot,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Rock 'n' roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
98,Croque,https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Croque_HHD.png/revision/latest?cb=20161013031016,Male,Cranky,Frog,July 18th (Cancer),(Cancer),"""as if""",Imperial Shirt,A noodle shop,Bunting,Architect,"Kilamanjaro,None at all,None at all",Iconic,K.K. Jongara,"NL, NH"
381,Wart Jr.,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/WartJr_NewLeaf_Official.png/revision/latest?cb=20130818042408,Male,Cranky,Frog,August 21st (Leo),(Leo),"""grr-ribbit""","Static Shirt (AF, AC)   Sharp Outfit  (WW, CF, NL) ",A bonsai shrine,Writing Backward,Detective,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Historical,To the Edge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
163,Gruff,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/Gruff_NewLeaf_Official.png/revision/latest/scale-to-width-down/317?cb=20130721191414,Male,Cranky,Goat,August 29th (Virgo),(Virgo),"""bleh eh eh""",Big-Star Tee,A classic barbershop,Staying up late,Musician,"Blend,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Rockabilly,"AF, AF+, AC, AFe+, NL, NH"
54,Boyd,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Boyd_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163411,Male,Cranky,Gorilla,October 1st (Libra),(Libra),"""uh-oh""",Good-fortune clothes,Unknown,Baton Twirling,Pro Wrestler,"Mocha,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Groove,"AFe+, NL, NH"
74,Cesar,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/-Cesar_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/350?cb=20130708032553,Male,Cranky,Gorilla,September 6th (Virgo),(Virgo),"""highness""","Two-Ball Tee (AC)A Tee (AF, AF+, AFe+, WW, CF, NL)",A construction site,Vaulting,Basketball player,"Blend,Just a little bit of milk,One spoonful of sugar",Historical,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
272,Peewee,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/Peewee_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721202151,Male,Cranky,Gorilla,September 11th (Virgo),(Virgo),"""li'l dude""",Five-Ball Tee,Unknown,Karaoke,Pro wrestler,"Blend, Just a little bit of milk,One spoonful of sugar",Sporty,K.K. Rally,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
166,Hamphrey,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Hamphrey_HHD.png/revision/latest?cb=20161013032935,Male,Cranky,Hamster,February 25th (Pisces),(Pisces),"""snort""",Beige Knit Shirt,A smoked-foods showcase,Eating quickly,Fisherman,"Blue Mountain,Just a  little bit of milk,One spoonful of sugar",Historical,K.K. Rally,"NL, NH"
308,Rocco,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/Rocco_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/350?cb=20130708043230,Male,Cranky,Hippo,August 18th (Leo),(Leo),"""hippie""",Danger Tee,A danger-filled zone,Making puns,Boxer,"Mocha,No milk,No sugar",Iconic,K.K. Lament,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
316,Roscoe,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/-Roscoe_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/335?cb=20130708031445,Male,Cranky,Horse,June 16th (Gemini),(Gemini),"""nay""",Checkered Tee,A black and white bastion,Making crafts,Lawyer,"Mocha,Just a little bit of milk,One spoonful of sugar",cool,K.K. Dirge,"AFe+, WW, CF, HHD, PC, NH"
