,Name,Villager_Image,House_Image
0,Admiral,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-admiral.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-admiral-trim-305x279.png
1,Agent S,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-agent-s.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-agent-s-trim-305x279.png
2,Agnes,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-agnes.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-agnes-trim-305x269.png
3,Al,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-al.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-al-trim-305x272.png
4,Alfonso,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-alfonso.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-alfonso-trim-305x268.png
5,Alice,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-alice.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-alice-trim-305x316.png
6,Alli,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-alli.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-alli-trim-305x312.png
7,Amelia,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-amelia.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-amelia-trim-305x268.png
8,Anabelle,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-anabelle.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-anabelle-trim-305x318.png
9,Anchovy,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-anchovy.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-anchovy-trim-305x276.png
10,Angus,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-angus.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-angus-trim-305x311.png
11,Anicotti,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-anicotti.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-anicotti-trim-305x279.png
12,Ankha,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-ankha.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-ankha-trim-305x313.png
13,Annalisa,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-annalisa.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-annalisa-trim-305x270.png
14,Annalise,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-annalise.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-annalise-trim-305x316.png
15,Antonio,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-antonio.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-antonio-trim-305x311.png
16,Apollo,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-icon-apollo.png,https://m9d9h8r7.rocketcdn.me/wp-content/uploads/2020/05/animal-crossing-new-horizons-guide-villager-house-exterior-apollo-trim-305x273.png
