iter	Passed	Remaining
0	11	11366
1	21	10562
2	33	11028
3	43	10807
4	53	10727
5	65	10817
6	76	10869
7	91	11350
8	108	11936
9	120	11936
10	130	11732
11	141	11626
12	155	11798
13	167	11819
14	175	11529
15	194	11941
16	205	11861
17	215	11729
18	222	11497
19	230	11285
20	239	11171
21	247	11014
22	263	11194
23	279	11349
24	290	11342
25	303	11361
26	313	11309
27	322	11187
28	337	11284
29	357	11559
30	363	11348
31	372	11258
32	385	11299
33	396	11260
34	406	11214
35	432	11591
36	451	11755
37	459	11641
38	471	11615
39	481	11565
40	496	11619
41	515	11754
42	528	11754
43	538	11704
44	548	11643
45	559	11612
46	573	11630
47	581	11531
48	593	11515
49	607	11539
50	617	11498
51	632	11533
52	648	11581
53	663	11618
54	673	11579
55	686	11574
56	700	11582
57	711	11562
58	727	11595
59	739	11579
60	748	11522
61	767	11615
62	786	11701
63	811	11866
64	845	12161
65	873	12365
66	884	12322
67	898	12321
68	936	12630
69	952	12660
70	963	12611
71	976	12590
72	995	12643
73	1009	12634
74	1028	12686
75	1040	12651
76	1053	12632
77	1063	12570
78	1074	12529
79	1086	12498
80	1098	12463
81	1108	12413
82	1120	12381
83	1135	12382
84	1146	12344
85	1162	12352
86	1172	12308
87	1184	12274
88	1194	12231
89	1205	12190
90	1216	12147
91	1235	12191
92	1246	12156
93	1258	12126
94	1271	12109
95	1287	12122
96	1300	12106
97	1311	12071
98	1323	12040
99	1332	11996
100	1349	12016
101	1365	12023
102	1380	12020
103	1393	12008
104	1407	11994
105	1424	12016
106	1437	11994
107	1447	11957
108	1459	11931
109	1471	11908
110	1480	11858
111	1492	11830
112	1502	11794
113	1513	11760
114	1521	11710
115	1535	11701
116	1547	11680
117	1559	11656
118	1568	11614
119	1585	11627
120	1602	11639
121	1613	11610
122	1627	11605
123	1646	11632
124	1659	11616
125	1674	11612
126	1685	11588
127	1703	11604
128	1722	11627
129	1740	11651
130	1758	11662
131	1774	11666
132	1786	11646
133	1796	11613
134	1815	11634
135	1828	11614
136	1838	11581
137	1848	11543
138	1858	11510
139	1868	11479
140	1880	11455
141	1888	11410
142	1898	11377
143	1906	11333
144	1924	11348
145	1934	11313
146	1945	11286
147	1954	11252
148	1966	11229
149	1990	11282
150	2002	11256
151	2012	11226
152	2023	11200
153	2036	11188
154	2046	11156
155	2062	11161
156	2075	11146
157	2086	11117
158	2096	11091
159	2110	11079
160	2119	11047
161	2132	11031
162	2145	11015
163	2156	10990
164	2171	10991
165	2182	10966
166	2192	10937
167	2205	10920
168	2218	10908
169	2228	10882
170	2238	10851
171	2250	10834
172	2262	10814
173	2275	10803
174	2292	10806
175	2307	10803
176	2318	10778
177	2349	10849
178	2362	10833
179	2381	10847
180	2394	10834
181	2408	10823
182	2419	10800
183	2430	10777
184	2440	10749
185	2451	10730
186	2466	10723
187	2482	10721
188	2491	10692
189	2501	10665
190	2512	10641
191	2522	10613
192	2532	10588
193	2541	10560
194	2551	10533
195	2561	10508
196	2573	10491
197	2583	10466
198	2595	10446
199	2605	10422
200	2615	10398
201	2626	10376
202	2638	10357
203	2648	10335
204	2660	10319
205	2672	10299
206	2682	10278
207	2692	10253
208	2702	10229
209	2713	10208
210	2723	10183
211	2733	10159
212	2744	10139
213	2754	10116
214	2765	10096
215	2775	10073
216	2786	10053
217	2797	10033
218	2814	10035
219	2830	10036
220	2848	10041
221	2863	10035
