iter	Logloss
0	0.6721349879
1	0.6527308961
2	0.6345149887
3	0.61725895
4	0.600357207
5	0.5851220595
6	0.5715416907
7	0.558478833
8	0.5467170459
9	0.5351330324
10	0.5243488365
11	0.514471158
12	0.5047920953
13	0.4967331568
14	0.4888467871
15	0.4813384422
16	0.4744899635
17	0.4678883781
18	0.4618005776
19	0.4563373447
20	0.4514262189
21	0.4463616505
22	0.4417167046
23	0.4374930516
24	0.4334351473
25	0.4294756045
26	0.426200962
27	0.4227644021
28	0.4194743362
29	0.416421854
30	0.4137346321
31	0.4113697987
32	0.4092252604
33	0.4067516119
34	0.4048346499
35	0.4026677782
36	0.4008315841
37	0.3990799568
38	0.3974026778
39	0.3960248081
40	0.3944918926
41	0.3931422855
42	0.3918800245
43	0.390491428
44	0.3894689165
45	0.3884251791
46	0.3874655711
47	0.3866971049
48	0.3858824765
49	0.3850604076
50	0.3842823211
51	0.383399601
52	0.3826764023
53	0.3820318411
54	0.3814687677
55	0.3808999597
56	0.380223654
57	0.3796468372
58	0.3791372158
59	0.3785493549
60	0.3781034441
61	0.377587746
62	0.3770709789
63	0.3765786112
64	0.3761944195
65	0.3758088907
66	0.3753780559
67	0.374973609
68	0.3745782687
69	0.374229843
70	0.3739464179
71	0.3736974956
72	0.3733890131
73	0.3730813154
74	0.3727237475
75	0.3724781754
76	0.3722803528
77	0.372047545
78	0.371794774
79	0.371593949
80	0.3713765509
81	0.3711562567
82	0.3709869688
83	0.3707933335
84	0.3705892455
85	0.3704113699
86	0.3702425567
87	0.370056881
88	0.3698995236
89	0.3697478169
90	0.3695840205
91	0.3694410021
92	0.3693064245
93	0.3691514836
94	0.3689885004
95	0.3688150043
96	0.3687092084
97	0.3686133082
98	0.3684492894
99	0.3682770592
100	0.3681615269
101	0.3680588979
102	0.367947494
103	0.36778451
104	0.3676129457
105	0.3675041222
106	0.3674027672
107	0.3672824053
108	0.3671132342
109	0.366996814
110	0.3668816439
111	0.3667663547
