iter	Passed	Remaining
0	45	228589
1	61	154575
2	86	144321
3	107	134866
4	128	128183
5	149	124611
6	172	122858
7	191	119508
8	220	122146
9	237	118281
10	253	115033
11	284	118425
12	305	117284
13	336	119840
14	365	121395
15	386	120309
16	397	116605
17	420	116373
18	442	115877
19	463	115350
20	477	113231
21	498	112798
22	519	112351
23	533	110586
24	557	110862
25	577	110500
26	597	110035
27	619	110002
28	640	109828
29	661	109648
30	683	109483
31	701	108928
32	715	107619
33	742	108512
34	765	108655
35	783	107986
36	801	107539
37	820	107144
38	836	106436
39	855	106138
40	875	105872
41	893	105443
42	907	104637
43	928	104576
44	952	104890
45	980	105611
46	995	104858
47	1014	104699
48	1028	103915
49	1049	103907
50	1070	103872
51	1089	103699
52	1112	103846
53	1133	103788
54	1148	103242
55	1170	103310
56	1191	103361
57	1216	103683
58	1240	103909
59	1264	104135
60	1286	104169
61	1311	104469
62	1329	104224
63	1349	104098
64	1370	104037
65	1389	103882
66	1409	103740
67	1427	103550
68	1449	103589
69	1470	103551
70	1490	103502
71	1509	103333
72	1534	103558
73	1560	103893
74	1583	104013
75	1608	104185
76	1626	103979
77	1641	103609
78	1665	103747
79	1680	103324
80	1703	103465
81	1720	103194
82	1741	103171
83	1760	103008
84	1778	102825
85	1803	103045
86	1822	102927
87	1845	103014
88	1862	102772
89	1883	102743
90	1902	102616
91	1923	102635
92	1942	102487
93	1960	102326
94	1984	102463
95	2006	102475
96	2025	102371
97	2046	102372
98	2070	102496
99	2087	102286
100	2107	102245
101	2127	102181
102	2144	101962
103	2162	101810
104	2186	101923
105	2202	101709
106	2232	102104
107	2252	102052
108	2277	102198
109	2294	101990
110	2315	101996
111	2337	102012
112	2357	101942
113	2377	101893
114	2392	101646
115	2411	101517
116	2429	101407
117	2442	101060
118	2462	101007
119	2484	101030
120	2511	101255
121	2529	101141
122	2549	101079
123	2576	101329
124	2595	101225
125	2617	101251
126	2640	101301
127	2660	101280
128	2679	101184
129	2694	100928
130	2712	100822
131	2732	100765
132	2750	100653
133	2769	100553
134	2786	100407
135	2808	100427
136	2827	100368
137	2847	100313
138	2869	100364
139	2891	100383
140	2910	100299
141	2936	100465
142	2972	100950
143	2996	101035
144	3010	100796
145	3035	100928
146	3054	100847
147	3077	100878
148	3099	100894
149	3119	100870
150	3139	100826
151	3158	100749
152	3178	100708
153	3196	100598
154	3213	100463
155	3233	100414
156	3254	100399
157	3272	100285
158	3296	100359
159	3321	100469
160	3344	100519
161	3366	100549
162	3383	100400
163	3400	100286
164	3420	100233
165	3440	100179
166	3458	100099
167	3478	100034
168	3497	99989
169	3516	99908
170	3538	99917
171	3556	99843
172	3580	99900
173	3600	99868
174	3619	99782
175	3641	99823
176	3661	99779
177	3686	99857
178	3705	99812
179	3724	99740
180	3746	99754
181	3771	99850
182	3789	99758
183	3805	99615
184	3823	99513
185	3844	99508
186	3860	99359
187	3880	99315
188	3898	99233
189	3921	99269
190	3943	99278
191	3958	99126
192	3977	99060
193	3995	98991
194	4014	98926
195	4031	98821
196	4054	98843
197	4076	98862
198	4097	98856
199	4117	98821
200	4139	98824
201	4159	98792
202	4182	98831
203	4200	98763
204	4217	98652
205	4238	98636
206	4253	98479
207	4272	98424
208	4290	98354
209	4318	98509
210	4335	98399
211	4352	98292
212	4367	98164
213	4391	98211
214	4420	98379
215	4440	98349
216	4458	98264
217	4479	98271
218	4508	98429
219	4524	98304
220	4554	98478
221	4568	98329
222	4587	98277
223	4601	98103
224	4621	98085
225	4636	97940
226	4660	97998
227	4680	97964
228	4695	97830
229	4719	97868
230	4740	97871
231	4760	97837
232	4778	97773
233	4802	97819
234	4826	97861
235	4846	97837
236	4863	97742
237	4929	98635
238	4956	98734
239	4977	98716
240	4997	98679
241	5017	98644
242	5032	98508
243	5053	98505
244	5073	98467
245	5095	98466
246	5114	98412
247	5135	98406
248	5158	98428
249	5179	98416
250	5201	98414
251	5215	98276
252	5243	98376
253	5262	98335
254	5283	98309
255	5301	98245
256	5324	98258
257	5342	98189
258	5360	98118
259	5374	97989
260	5397	97995
261	5417	97965
262	5438	97953
263	5462	97997
264	5480	97925
265	5501	97905
266	5519	97842
267	5536	97748
268	5560	97799
269	5583	97809
270	5604	97805
271	5624	97772
272	5646	97772
273	5662	97663
274	5685	97692
275	5701	97589
276	5724	97609
277	5737	97463
278	5762	97509
279	5777	97387
280	5797	97362
281	5812	97244
282	5830	97179
283	5846	97092
284	5862	96987
285	5883	96971
286	5902	96926
287	5915	96785
288	5935	96760
289	5951	96667
290	5968	96580
291	5987	96543
292	6005	96481
293	6025	96441
294	6043	96381
295	6066	96405
296	6085	96358
297	6103	96296
298	6124	96299
299	6143	96249
300	6165	96245
301	6177	96099
302	6197	96076
303	6214	95990
304	6226	95845
305	6246	95817
306	6260	95699
307	6282	95706
308	6306	95742
309	6321	95641
310	6335	95524
311	6356	95510
312	6371	95406
313	6387	95318
314	6409	95323
315	6428	95292
316	6446	95230
317	6469	95259
318	6487	95196
319	6500	95063
320	6519	95024
321	6533	94913
322	6554	94905
323	6570	94820
324	6594	94854
325	6616	94863
326	6636	94835
327	6659	94853
328	6681	94859
329	6694	94740
330	6711	94669
331	6727	94594
332	6741	94479
333	6766	94529
334	6782	94451
335	6800	94402
336	6822	94394
337	6867	94729
338	6887	94691
339	6913	94751
340	6950	94961
341	6972	94967
342	7002	95075
343	7026	95108
344	7044	95049
345	7064	95017
346	7078	94923
347	7099	94907
348	7114	94812
349	7136	94817
350	7155	94774
351	7173	94725
352	7192	94689
353	7214	94685
354	7240	94737
355	7260	94711
356	7278	94661
357	7298	94635
